floor,rooms,sq,district,distance_to_nearest_metro,distance_to_pkin,living_condition_index,age_of_house,es_index,price
6.0,3.0,42.94,Mokotów,2.4909011916369406,4.994823304914785,0.6865751976785235,51,0.8167734751525023,585000.0
0.0,3.0,56.3,Mokotów,2.4909011916369406,4.994823304914785,0.7062433030232861,46,0.888517009993301,500000.0
2.0,3.0,87.0,Śródmieście,0.24751479487484437,0.8726978421186736,0.8912631734769741,21,0.4043279314304273,899000.0
2.0,2.0,44.61,Mokotów,2.4909011916369406,4.994823304914785,0.7226471944887675,109,0.9207653159782314,575000.0
10.0,4.0,54.0,Wola,0.1566164850086975,3.560946574911859,0.6125377223506959,1,0.6830050603293639,619000.0
2.0,3.0,136.0,Mokotów,211.78677467389085,215.47027671356676,0.7335274522649373,11,0.8743555187722125,3800000.0
3.0,4.0,80.8,Ochota,2.283529009229309,3.173343998117241,0.695287291195934,6,0.611385775437056,1210000.0
4.0,2.0,46.1,Śródmieście,0.6456503112414307,0.744509205776572,0.8196755291829013,55,0.4028456631007433,769000.0
1.0,3.0,67.4,Ursynów,1.4395286488420724,8.062045365975104,0.5245180027535927,2,0.9576712289564353,775000.0
0.0,2.0,42.96,Wola,1.2581836400080328,3.759147830983273,0.6934514164776813,0,0.8224717281651615,486831.0
1.0,2.0,39.5,Żoliborz,0.15072636401499562,4.380564652329655,0.6280125900282454,66,0.8741066860978205,580000.0
5.0,3.0,79.0,Ursynów,1.2218834890476398,7.626077073169183,0.5288156189007083,13,0.9538945370868492,997000.0
0.0,2.0,44.0,Ursynów,1.3860446779782731,10.253480866517846,0.49809890235356663,41,0.9115375759871732,510000.0
2.0,3.0,49.3,Targówek,0.6682554815292581,5.980828169701148,0.5294612617849083,46,0.9060532688613253,430000.0
10.0,2.0,37.2,Wola,0.3334628075332754,1.316468647643131,0.6223307355531343,53,0.7624339868289142,483000.0
1.0,3.0,82.0,Praga-Południe,1.4684542268722616,3.299111998290923,0.5902330610260639,41,0.8146353990466211,899000.0
6.0,3.0,63.67,Bemowo,2.6977374775250196,6.411034460051335,0.3558707395662876,41,0.773577954667358,549000.0
3.0,3.0,127.0,Śródmieście,0.24751479487484437,0.8726978421186736,0.8564912640428695,65,0.41717612437274565,1700000.0
1.0,2.0,41.0,Białołęka,4.369007297437188,10.843383161490951,0.280446284416809,1,0.9217332659456821,319000.0
5.0,2.0,47.0,Bielany,0.43556449092625094,0.02832371015692246,0.3317055179442352,38,0.7122422242405214,529000.0
4.0,3.0,121.47,Śródmieście,0.24751479487484437,0.8726978421186736,0.9082043094053944,9,0.42558148543224494,1384029.0
3.0,3.0,63.1,Praga-Południe,2.638310568950668,5.210867899606064,0.5370009102039485,10,0.8577567024657188,768000.0
0.0,3.0,82.0,Wilanów,3.847390005501828,11.284376312555644,0.39459101441120625,15,0.9631616639213266,1022750.0
4.0,3.0,71.0,Ursynów,1.4395286488420724,8.062045365975104,0.5588802463896949,6,0.8159176617371251,850000.0
1.0,3.0,73.22,Mokotów,3.1426160589393097,4.649114357423093,0.6883940014912783,1,0.9114987580464141,798098.0
1.0,2.0,59.0,Bemowo,2.6977374775250196,6.411034460051335,0.34162206099627607,12,0.7929557355634873,600000.0
0.0,1.0,32.0,Ochota,2.283529009229309,3.173343998117241,0.6167698501898556,70,0.6673561547190693,418000.0
2.0,2.0,44.17,Mokotów,3.1426160589393097,4.649114357423093,0.7070482640568504,12,0.8562302193379165,530000.0
3.0,4.0,130.0,Śródmieście,0.4385216233548852,1.4996655074972152,0.8666234604370389,4,0.418524146684513,2600000.0
2.0,3.0,53.56,Białołęka,4.369007297437188,10.843383161490951,0.2709255402275281,0,0.9752394244648461,389649.0
1.0,4.0,178.8,Wilanów,3.1011376590448085,8.550022424981037,0.4076525794063534,16,0.912636007214751,2800000.0
0.0,2.0,47.45,Wola,0.1566164850086975,3.560946574911859,0.7182446628472406,0,0.696268645107662,521367.0
0.0,2.0,39.07,Białołęka,6.458131794506341,12.800357403395944,0.2574072276211572,7,0.9730742663258829,350000.0
3.0,4.0,101.0,Śródmieście,0.24751479487484437,0.8726978421186736,0.8261429561062754,56,0.4078272094602561,1390000.0
10.0,2.0,44.0,Śródmieście,0.24751479487484437,0.8726978421186736,0.8282626715873639,51,0.439431505013674,624987.0
4.0,1.0,23.0,Ochota,2.283529009229309,3.173343998117241,0.7345210499335911,54,0.6159956254705803,319000.0
7.0,2.0,49.0,Ursynów,0.31008535863808667,9.37698268403735,0.4918272473544158,39,0.9655095760429235,539000.0
2.0,4.0,85.0,Ursynów,1.3860446779782731,10.253480866517846,0.4725882077249231,43,0.8941577262555264,890000.0
2.0,1.0,42.0,Wola,0.1566164850086975,3.560946574911859,0.6409346738212802,58,0.8209578700618488,450000.0
0.0,2.0,46.0,Praga-Południe,4.548653454772996,6.667454024171354,0.5348242312399863,31,0.9555037202559872,460000.0
1.0,3.0,66.16,Praga-Południe,4.236468006411964,6.88698490291548,0.560930569883161,1,0.8672215347593172,639999.0
2.0,2.0,32.0,Białołęka,6.6564198606006535,12.922330377208654,0.2474705942331432,3,0.9419455986541663,399000.0
0.0,2.0,58.7,Bemowo,2.174360721745314,5.852228455704052,0.3146032407492029,19,0.7634111008003384,660000.0
9.0,4.0,70.5,Targówek,0.6682554815292581,5.980828169701148,0.5221941207343707,41,0.8666321630331086,600000.0
2.0,2.0,35.0,Śródmieście,0.24751479487484437,0.8726978421186736,0.8839385783553105,69,0.3870626997582607,475000.0
0.0,3.0,54.0,Wola,0.1566164850086975,3.560946574911859,0.6794033702664346,57,0.7768541512335467,550000.0
3.0,2.0,38.0,Wola,0.1566164850086975,3.560946574911859,0.7000396391811737,44,0.7333307047367799,435000.0
0.0,3.0,67.6,Bemowo,2.7291905714262565,6.335400650094902,0.32810896075204216,41,0.8056093886859079,575000.0
1.0,2.0,37.0,Białołęka,6.6564198606006535,12.922330377208654,0.28457869516453593,4,0.9962050309449773,375000.0
3.0,3.0,74.0,Praga-Północ,1.6810009343034604,4.876114437006522,0.49586594703735754,94,0.586581748354706,800000.0
0.0,3.0,62.74,Śródmieście,0.7110172054943996,2.9378021697848045,0.7657508985656748,0,0.4325832984681865,709302.0
0.0,2.0,44.26,Praga-Południe,2.3571761704714937,5.300823354810367,0.513191990416757,5,0.8099559141230556,525000.0
4.0,2.0,37.5,Targówek,0.6682554815292581,5.980828169701148,0.5120139679916388,53,0.927602880539555,352500.0
2.0,1.0,25.0,Praga-Południe,1.1626663601567366,4.111899018847016,0.5924949327898288,7,0.8023084367120971,375000.0
2.0,1.0,29.0,Mokotów,4.254045654145871,6.780718034495861,0.708804710011118,18,0.8619197393970404,325000.0
5.0,4.0,92.0,Śródmieście,0.13410873517276317,0.48907019301036225,0.7817699472992158,71,0.38935064958582394,1410500.0
0.0,2.0,38.0,Wesoła,12.541414762012955,14.968711850329697,0.4334968102863939,3,0.46925668146499244,432000.0
0.0,5.0,154.0,Wawer,10.149714209734512,13.377224885282073,0.35493466278001495,9,0.49028144304349525,1000000.0
4.0,2.0,39.0,Praga-Północ,0.055768337124038024,2.912868265328259,0.4835008174183257,36,0.6276602484003129,429000.0
10.0,2.0,38.8,Śródmieście,0.4689940785432357,0.9711601086366757,0.8705348449362653,53,0.43362629521665963,550000.0
1.0,3.0,54.0,Wola,0.24038684227857943,3.597237234043381,0.7164386280236307,61,0.8089509071257899,585000.0
8.0,4.0,67.0,Mokotów,2.4534320100184366,6.97016481224019,0.6222123639956157,46,0.7950880530344661,783900.0
1.0,5.0,169.4,Śródmieście,0.24751479487484437,0.8726978421186736,0.7932560831870478,91,0.39342894479330603,2750000.0
5.0,3.0,57.6,Mokotów,2.4909011916369406,4.994823304914785,0.6296297752141883,51,0.8372760536612059,530000.0
10.0,3.0,64.0,Bielany,3.5320548702877153,8.483704816725188,0.34800526040452745,45,0.7009064622973961,520000.0
4.0,3.0,48.49,Mokotów,2.4909011916369406,4.994823304914785,0.7413485645836917,53,0.8571966916582654,539000.0
10.0,3.0,60.0,Bielany,0.6585536856983559,6.115296203550556,0.38116623174067654,41,0.7293829564587105,650000.0
0.0,4.0,90.0,Ochota,2.283529009229309,3.173343998117241,0.6307792077748491,19,0.5727025699184709,1150000.0
2.0,1.0,35.0,Śródmieście,0.24751479487484437,0.8726978421186736,0.869803851199142,68,0.43580059862992865,475500.0
2.0,3.0,66.76,Żoliborz,0.15072636401499562,4.380564652329655,0.6181049202336671,7,0.9488902735606687,1041456.0
3.0,4.0,101.0,Śródmieście,0.45397726155637763,0.5531780594559742,0.8628181331078537,56,0.36950224200381576,1390000.0
7.0,1.0,29.6,Mokotów,0.8289819156442209,4.136355284450245,0.6317494861358987,48,0.9321448145720407,404000.0
1.0,3.0,78.0,Praga-Południe,1.993290774867635,4.4745223113930574,0.5479785458954493,11,0.9613884974512783,1160000.0
7.0,1.0,27.0,Bielany,0.3265016407435702,8.69631912412126,0.3450441430890506,52,0.7437000711402499,325000.0
3.0,4.0,123.95,Śródmieście,0.0454041337772033,1.831235236102742,0.864883032915733,1,0.4370694473899023,2974800.0
0.0,4.0,135.16,Bemowo,2.6977374775250196,6.411034460051335,0.3285061115070196,14,0.8487660658167349,2150000.0
9.0,1.0,31.0,Mokotów,2.484142741584721,7.090029701215828,0.7211192806339419,42,0.9315115715548652,329000.0
2.0,2.0,60.08,Wilanów,1.724908698496279,9.650367059158693,0.3750472058026614,11,0.970368456672312,659000.0
5.0,3.0,58.0,Bielany,1.3375742885188746,6.505846313601686,0.3241008420839682,13,0.7011204456337248,640000.0
3.0,4.0,95.25,Praga-Południe,1.993290774867635,4.4745223113930574,0.5602424998705423,0,0.9028666582455985,1047750.0
0.0,3.0,70.0,Ursus,5.747764192373684,7.882318908706781,0.3097553571770792,12,0.9096028634538318,569000.0
0.0,3.0,66.66,Ochota,0.43556449092625094,0.02832371015692246,0.6500069612709003,1,0.6403692034255845,799000.0
3.0,4.0,80.24,Ursynów,0.726317256544512,8.593636480399779,0.5660809319235403,33,0.9404896929376043,639000.0
1.0,2.0,38.1,Mokotów,1.6061161279217726,2.549719975928223,0.7429737143590748,48,0.9153755117354823,514350.0
4.0,2.0,49.0,Białołęka,2.600082946846345,11.667121482436054,0.2422776665728167,16,0.9261372247093322,460000.0
